Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-12-14,95.54000091552734,97.22000122070312,93.94000244140625,95.30999755859375,26452900,0.0,0.0
2022-12-15,93.54000091552734,94.02999877929688,90.43000030517578,91.19999694824219,28298800,0.0,0.0
2022-12-16,91.19999694824219,91.75,90.01000213623047,90.86000061035156,48485500,0.0,0.0
2022-12-19,90.87999725341797,91.19999694824219,88.92500305175781,89.1500015258789,23020500,0.0,0.0
2022-12-20,88.7300033569336,89.77999877929688,88.04000091552734,89.62999725341797,21976800,0.0,0.0
2022-12-21,89.7300033569336,90.91500091552734,88.91000366210938,90.25,20336400,0.0,0.0
2022-12-22,88.93000030517578,89.18000030517578,86.94000244140625,88.26000213623047,23656100,0.0,0.0
2022-12-23,87.62000274658203,90.0999984741211,87.62000274658203,89.80999755859375,17815000,0.0,0.0
2022-12-27,89.30999755859375,89.5,87.53500366210938,87.93000030517578,15470900,0.0,0.0
2022-12-28,87.5,88.5199966430664,86.37000274658203,86.45999908447266,17879600,0.0,0.0
2022-12-29,87.02999877929688,89.36499786376953,86.98999786376953,88.94999694824219,18280700,0.0,0.0
2022-12-30,87.36499786376953,88.83000183105469,87.02999877929688,88.7300033569336,19179300,0.0,0.0
2023-01-03,89.83000183105469,91.55000305175781,89.0199966430664,89.69999694824219,20738500,0.0,0.0
2023-01-04,91.01000213623047,91.23999786376953,87.80000305175781,88.70999908447266,27046500,0.0,0.0
2023-01-05,88.06999969482422,88.20999908447266,86.55999755859375,86.7699966430664,23136100,0.0,0.0
2023-01-06,87.36000061035156,88.47000122070312,85.56999969482422,88.16000366210938,26604400,0.0,0.0
2023-01-09,89.19499969482422,90.83000183105469,88.58000183105469,88.80000305175781,22996700,0.0,0.0
2023-01-10,86.72000122070312,89.4749984741211,86.69999694824219,89.23999786376953,22855600,0.0,0.0
2023-01-11,90.05999755859375,92.44999694824219,89.73999786376953,92.26000213623047,25998800,0.0,0.0
2023-01-12,92.4000015258789,92.62000274658203,90.56999969482422,91.91000366210938,22754200,0.0,0.0
2023-01-13,91.52799987792969,92.9800033569336,90.93000030517578,92.80000305175781,18617800,0.0,0.0
